Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,min_salary,max_salary,avg_salary,company_text,job_state,age,python_y/n,r_y/n,spark_y/n,aws_y/n,excel_y/n,sas_y/n,matlab_y/n,tableau_y/n,tensorflow_y/n
Data Scientist,$78K-$133K (Glassdoor est.),"Publishers Clearing House (PCH), located in Jericho, NY is looking for a strongData Scientist who is passionate about using the power of algorithms to drive customer engagement and monetization. As a part of our Analytics team, you will be utilizing enormous volumes of data on customers, PCH products, channels, and developing advanced statistical algorithms to solve unique business problems. This is an exciting opportunity to work with big data to build data products backed by algorithms to delight customers and to drive significant advances in PCH Commerce (online and Direct Mail), Search, Online Gaming, and Digital Advertising business.

Responsibilities include but are not limited to:
Work comfortably with multi-terabyte, and billion+ rows data to extract insights and building predictive models to maximize profit
Utilize large-scale data mining and machine learning techniques to discover actionable patterns in the data
Perform rigorous model development, evaluation, design hypothesis tests, oversee test execution and result evaluation
Communicate complex analyses in a clear and actionable manner
Desired skills, experience& qualifications:
Masters degree required in Machine Learning, Applied Math, Computer Science, Economics, Statistics, or a related quantitative field
2 to 5 years’ experience in building predictive models using SAS Enterprise Guide (EG) , SAS Enterprise Miner or/and Python
Solid understanding of advanced statistical concepts, especially related to modelling is a must
Experience with publishers and or ad tech companies, experience in media, advertising and marketing vertical is a plus
Knowledge of programmatic advertising and digital acquisition. Experience in building optimization models /algorithms for media spends and maximize CPM
Experience working with enterprise-level digital analytics platform such as Google Analytics is a plus
Experience with cloud platforms AWS or Google Could Platforms (preferred)
Experience with ETL and building data pipelines and familiarity with distributed storage and big data computing technology is a plus
Excellent communication and presentation skills
Publishers Clearing House (PCH), headquartered in Jericho, NY, and with offices in NYC, Portland, ME and Boston, MA, is a leading direct-to-consumer company offering a broad range of products, digital entertainment services to consumers as well as customized solutions for advertisers. Our continued success in today’s new digital publishing environment is built on PCH’s unique, free-to-play, chance-to-win value proposition, which enables individually personalized offers based on the trusted first-party relationship we maintain with millions of consumers and is fueled by the excitement of the Publishers Clearing House brand.

Join our winning team and apply today!

This position is located in Jericho, NY. Candidates must reside in the NY tri-state area

PCH is an Equal Opportunity Employer",3.4,"Publishers Clearing House
3.4","Jericho, NY",501 to 1000 Employees,1953,Company - Private,Advertising & Marketing,Business Services,$500 million to $1 billion (USD),-1,78,133,105.5,Publishers Clearing House,NY,67,1,0,0,1,1,1,0,0,0
Associate Data Scientist,$78K-$133K (Glassdoor est.),"Job Description

As an Associate Data Scientist, you will apply modern data storage, movement, and transformation architectures and techniques to extract and engineer features from any scale structured or unstructured data in health, IT system, business processes, or external data. You will also access, cleanse, compile, and transform disparate data sets to conduct exploratory and pre-defined analyses using scientifically valid techniques and generate meaningful insights as well as assist with feasibility studies to identify data availability, quality and modeling requirements, and dependencies.

Qualifications

Basic Qualifications
Master’s Degree in Statistics, Computer Science, Analytics, Biostatistics, Applied Mathematics, Software Engineering, Data Science, or related field, or equivalent relevant work experience
At least 1 year of statistical programming and applied programming work experience
At least 1 year Data mining, quantitative analysis, and/or statistical modeling including predictive performance and algorithm optimization work experience
Preferred Qualifications
Experience with relational databases and SQL; NoSQL databases (hBase, Cassandra, MongoDB, Couch DB, Riak) and unstructured data; Spark; Pig and Avro
Experience with agile software development methodologies
Expectations
Willing to travel up to 20% of the time as needed
Must be currently residing in or willing to relocate to the Kansas City metro area",3.9,"Cerner
3.9","North Kansas City, MO",10000+ Employees,1979,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),-1,78,133,105.5,Cerner,MO,41,0,0,1,0,0,1,0,0,0
Research Scientist - ICC and IHC focus,$78K-$133K (Glassdoor est.),"Do you want to be involved in making an enormous positive difference in the lives of tens of millions of older patients?

We have an immediate opening for a Research Scientist in Syracuse, NY; a B.S. or M.S. with experience in Immunocytochemistry and Immunohistochemistry (ICC and IHC), able and proven to perform research at the highest level of quality.

You will work together with our scientists to execute and troubleshoot experiments for our work on atherosclerosis. You will be responsible for ensuring the quality and documentation of the work as it progresses.

The ideal candidate will be detail oriented, recognize that we all live and die by the quality of our documentation, be able to produce quality work in a fast-paced and flexible environment, collaborate well with fellow scientists, and demonstrate the ability to learn and grow as our company expands to meet the challenges of building effective treatments to reverse aspects of aging.

The qualifications:
*B.S. or M.S. in cell biology, biochemistry, or related field. PhD is a plus, but not required.*
*Experience in Immunocytochemistry and Immunohistochemistry required.*
Experience in cell culture, assay development, general cellular, molecular and biochemical techniques (e.g. Western Blotting, PCR, Flow cytometry, imaging, microscopy), cell therapy, and biologic drug discovery and development are preferred but not required.
Must be able to operate independently and as a part of a team for execution of projects of varying scale.
Authorization to work in the U.S., as unfortunately we are not able to sponsor work visas
Compensation:
Competitive salary based on experience
Health benefits
Interested? Send your CV to careers at repairbiotechnologies dot com.

Job Type: Full-time

Benefits:
Health insurance
Schedule:
8 hour shift
Supplemental Pay:
Bonus pay
Experience:
ICC/IHC: 1 year (Required)
Education:
Bachelor's (Required)
Work Location:
One location
This Job Is Ideal for Someone Who Is:
Detail-oriented -- would rather focus on the details of work than the bigger picture
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Autonomous/Independent -- enjoys working with little direction
Company's website:
www.repairbiotechnologies.com
Work Remotely:
No",-1.0,Repair Biotechnologies,"Syracuse, NY",-1,-1,-1,-1,-1,-1,-1,78,133,105.5,Repair Biotechnologies,NY,-1,0,0,0,0,0,1,0,0,0
Research Scientist - ICC and IHC focus,$78K-$133K (Glassdoor est.),"Do you want to be involved in making an enormous positive difference in the lives of tens of millions of older patients?

We have an immediate opening for a Research Scientist in Syracuse, NY; a B.S. or M.S. with experience in Immunocytochemistry and Immunohistochemistry (ICC and IHC), able and proven to perform research at the highest level of quality.

You will work together with our scientists to execute and troubleshoot experiments for our work on atherosclerosis. You will be responsible for ensuring the quality and documentation of the work as it progresses.

The ideal candidate will be detail oriented, recognize that we all live and die by the quality of our documentation, be able to produce quality work in a fast-paced and flexible environment, collaborate well with fellow scientists, and demonstrate the ability to learn and grow as our company expands to meet the challenges of building effective treatments to reverse aspects of aging.

The qualifications:
*B.S. or M.S. in cell biology, biochemistry, or related field. PhD is a plus, but not required.*
*Experience in Immunocytochemistry and Immunohistochemistry required.*
Experience in cell culture, assay development, general cellular, molecular and biochemical techniques (e.g. Western Blotting, PCR, Flow cytometry, imaging, microscopy), cell therapy, and biologic drug discovery and development are preferred but not required.
Must be able to operate independently and as a part of a team for execution of projects of varying scale.
Authorization to work in the U.S., as unfortunately we are not able to sponsor work visas
Compensation:
Competitive salary based on experience
Health benefits
Interested? Send your CV to careers at repairbiotechnologies dot com.

Job Type: Full-time

Benefits:
Health insurance
Schedule:
8 hour shift
Supplemental Pay:
Bonus pay
Experience:
ICC/IHC: 1 year (Required)
Education:
Bachelor's (Required)
Work Location:
One location
This Job Is Ideal for Someone Who Is:
Detail-oriented -- would rather focus on the details of work than the bigger picture
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Autonomous/Independent -- enjoys working with little direction
Company's website:
www.repairbiotechnologies.com
Work Remotely:
No",-1.0,Repair Biotechnologies,"Syracuse, NY",-1,-1,-1,-1,-1,-1,-1,78,133,105.5,Repair Biotechnologies,NY,-1,0,0,0,0,0,1,0,0,0
Research Scientist - ICC and IHC focus,$78K-$133K (Glassdoor est.),"Do you want to be involved in making an enormous positive difference in the lives of tens of millions of older patients?

We have an immediate opening for a Research Scientist in Syracuse, NY; a B.S. or M.S. with experience in Immunocytochemistry and Immunohistochemistry (ICC and IHC), able and proven to perform research at the highest level of quality.

You will work together with our scientists to execute and troubleshoot experiments for our work on atherosclerosis. You will be responsible for ensuring the quality and documentation of the work as it progresses.

The ideal candidate will be detail oriented, recognize that we all live and die by the quality of our documentation, be able to produce quality work in a fast-paced and flexible environment, collaborate well with fellow scientists, and demonstrate the ability to learn and grow as our company expands to meet the challenges of building effective treatments to reverse aspects of aging.

The qualifications:
*B.S. or M.S. in cell biology, biochemistry, or related field. PhD is a plus, but not required.*
*Experience in Immunocytochemistry and Immunohistochemistry required.*
Experience in cell culture, assay development, general cellular, molecular and biochemical techniques (e.g. Western Blotting, PCR, Flow cytometry, imaging, microscopy), cell therapy, and biologic drug discovery and development are preferred but not required.
Must be able to operate independently and as a part of a team for execution of projects of varying scale.
Authorization to work in the U.S., as unfortunately we are not able to sponsor work visas
Compensation:
Competitive salary based on experience
Health benefits
Interested? Send your CV to careers at repairbiotechnologies dot com.

Job Type: Full-time

Benefits:
Health insurance
Schedule:
8 hour shift
Supplemental Pay:
Bonus pay
Experience:
ICC/IHC: 1 year (Required)
Education:
Bachelor's (Required)
Work Location:
One location
This Job Is Ideal for Someone Who Is:
Detail-oriented -- would rather focus on the details of work than the bigger picture
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Autonomous/Independent -- enjoys working with little direction
Company's website:
www.repairbiotechnologies.com
Work Remotely:
No",-1.0,Repair Biotechnologies,"Syracuse, NY",-1,-1,-1,-1,-1,-1,-1,78,133,105.5,Repair Biotechnologies,NY,-1,0,0,0,0,0,1,0,0,0
Research Scientist - ICC and IHC focus,$78K-$133K (Glassdoor est.),"Do you want to be involved in making an enormous positive difference in the lives of tens of millions of older patients?

We have an immediate opening for a Research Scientist in Syracuse, NY; a B.S. or M.S. with experience in Immunocytochemistry and Immunohistochemistry (ICC and IHC), able and proven to perform research at the highest level of quality.

You will work together with our scientists to execute and troubleshoot experiments for our work on atherosclerosis. You will be responsible for ensuring the quality and documentation of the work as it progresses.

The ideal candidate will be detail oriented, recognize that we all live and die by the quality of our documentation, be able to produce quality work in a fast-paced and flexible environment, collaborate well with fellow scientists, and demonstrate the ability to learn and grow as our company expands to meet the challenges of building effective treatments to reverse aspects of aging.

The qualifications:
*B.S. or M.S. in cell biology, biochemistry, or related field. PhD is a plus, but not required.*
*Experience in Immunocytochemistry and Immunohistochemistry required.*
Experience in cell culture, assay development, general cellular, molecular and biochemical techniques (e.g. Western Blotting, PCR, Flow cytometry, imaging, microscopy), cell therapy, and biologic drug discovery and development are preferred but not required.
Must be able to operate independently and as a part of a team for execution of projects of varying scale.
Authorization to work in the U.S., as unfortunately we are not able to sponsor work visas
Compensation:
Competitive salary based on experience
Health benefits
Interested? Send your CV to careers at repairbiotechnologies dot com.

Job Type: Full-time

Benefits:
Health insurance
Schedule:
8 hour shift
Supplemental Pay:
Bonus pay
Experience:
ICC/IHC: 1 year (Required)
Education:
Bachelor's (Required)
Work Location:
One location
This Job Is Ideal for Someone Who Is:
Detail-oriented -- would rather focus on the details of work than the bigger picture
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Autonomous/Independent -- enjoys working with little direction
Company's website:
www.repairbiotechnologies.com
Work Remotely:
No",-1.0,Repair Biotechnologies,"Syracuse, NY",-1,-1,-1,-1,-1,-1,-1,78,133,105.5,Repair Biotechnologies,NY,-1,0,0,0,0,0,1,0,0,0
"Senior Data Scientist, Zoro",$78K-$133K (Glassdoor est.),"Company Summary:
Zoro.com is an eCommerce company that sells business supplies, equipment, and tools—but we’re much more than just a website. We’re a team of people who win and lose together (we prefer winning!). Since 2011, Zoro has been working hard to make it easy for our customers to purchase everything they need to make their businesses go. Zoro currently offers 3 million products, fast and free shipping, no-hassle returns, and exceptional customer service. We’ve grown quickly in a short time, recently surpassing 400 team members and reaching annual revenue of over $500 million. Add to that our award-winning culture—we were named a Great Place to Work for 2019-20, among other accolades—and we think Zoro is a pretty amazing place to work and grow.

Primary Function:
Our Sr. Data Scientists are key contributors to the development of Zoro’s customer, product, eCommerce, and pricing plans. The Data Science team covers a broad scope of projects including customer segmentation, A/B testing, marketing investment optimization, predictive modeling, promotion forecasting, and pricing analysis. We are closely integrated with our business leaders and support their ability to make critical decisions. At Zoro, you will be challenged by new questions every day.

Duties and Responsibilities:

Lead data science projects from beginning to end: develop and refine the idea, create a project plan and methodology, collaborate with business partners, execute, and provide recommendations for the company
Collaborate with other data scientists to develop and implement algorithms, write code, evaluate relevant academic research, and deliver outputs
Advise the company about tools, data sources, and best practices to facilitate digital marketing, pricing, and web analytics
Build predictive and inference models using Python and R to support business initiatives in the areas of customer acquisition, activation, engagement, retention, or channel investment optimization
Document code and data science processes that are critical to the company, and develop strategies to ensure those processes are robust and fault-tolerant
Communicate findings to business leaders and colleagues using data visualizations, presentations, and written means

Qualifications:

Experience leading data science projects that have a direct impact on company objectives
Demonstrated ability to assist business decision-making through data mining and machine learning
Strong communication skills to collaborate effectively with business stakeholders. Must be able to interact cross-functionally and drive both business and technical discussions
5+ years’ progressive business experience in areas including marketing analytics, database marketing, data mining, or statistical modeling. Experience using data science or advanced analytics in an Internet retailer or a top-tier consumer-focused company is required
Ability to translate complex business problems into project plans and solve them by analyzing large amounts of data
Familiarity with Python or R for statistical modeling, clustering, classification, machine learning, and data mining
Demonstrated proficiency in SQL and cloud-hosted data platforms (Google Cloud Platform, AWS, etc)
Familiarity with BI tools such as Tableau or Looker, and ability to communicate results to business partners
Master’s degree preferred in quantitative fields such as Statistics, Engineering, Operational Research, or Economics
Knowledge of web tracking technology and web analytics tools (Google Analytics, Adobe Analytics, etc.) a definite plus

Final note: We share a commitment to our Zoro values – Win & Lose Together (We prefer winning!), Take Ownership, We Are Transparent, and Aspire to be Customer-Obsessed. Everything we do at Zoro is centered around delighting our customers. It's a natural extension of our company culture and how we care for each other. We believe when we act in ways that are consistent with these values, we can solve any technical challenge that lies ahead of us. As a Zoro employee, you can expect to work with smart, energetic people, learn something every day, and be valued for your perspective.

Zoro is an Equal Opportunity Workplace and an Affirmative Action Employer.
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status.",2.0,"Zoro Tools
2.0","Chicago, IL",Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,78,133,105.5,Zoro Tools,IL,-1,1,0,0,1,0,0,0,1,0
"Data Scientist, Machine Learning",$78K-$133K (Glassdoor est.),"Job Description

At Shipt, we are transforming the grocery shopping experience and giving time back to consumers. Shipt shoppers handpick fresh groceries and household essentials, then deliver them to your door in as little as one hour.

Shipt is growing and we are searching for a Data Scientist, Machine Learning to join our team! At Shipt, we're using machine learning (ML) and analytics to drive our business forward. We're looking for help understanding our data, optimizing our processes, and making predictions to improve our product and customer experience.

The data science team builds data driven solutions using machine learning and modeling techniques. Our solutions include predictive models, clustering, segmentation, complex reporting, and quantitative research. Our ideal candidate will be data-driven, intellectually curious, and a clear communicator with experience building machine learning models.

What You'll Gain
You will get experience working with a cross-disciplinary team shipping real-world products to our customers around the nation. You will also receive hands-on mentorship from your friendly teammates on topics ranging from design to career advice

Your Responsibilities
Develop a thorough understanding of our data and interpret them as they relate to shopper behavior, search performance, profitability, and product development
Build predictive models and optimization routines to capture opportunities and solve problems. Applications include modeling demand in a given market, delivering search recommendations, and optimizing internal processes
Collaborate with other members of the Data Science and engineering teams on ways to approach problems, augment code, and share new techniques
Work with functional team leaders (in Product, Operations, Marketing, etc.) to explain your analysis, findings, and recommendations
Find opportunities for improvement across the business and assist in decision-making across teams
Stay abreast of developments in the field and contribute to its advancement
Requirements
At least 2 years of experience with machine learning, predictive modeling, and/or optimization techniques
High degree of proficiency with one of R or Python
Proficiency with SQL
Experience with a data visualization tool (Tableau, Chartio, Looker, Spotfire, Power BI, etc.)
Experience with cloud computing services or platforms
Comfortable giving verbal presentations and communicating with technologies like Zoom and Slack
Bachelor's degree in a quantitative field or related experience
Nice to Haves
Experience deploying predictive models in a cloud environment
Experience with batch processing framework
Familiarity with AWS, version control, and peer code review systems
Familiarity with on-demand and/or multi-sided marketplaces
Proficiency in both R and Python
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",3.4,"Shipt
3.4","Birmingham, AL",1001 to 5000 Employees,2014,Subsidiary or Business Segment,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable,-1,78,133,105.5,Shipt,AL,6,1,0,0,1,0,0,0,1,0
Data Analyst,$78K-$133K (Glassdoor est.),"Nurx is looking for a Data Analyst who loves answering complex business and health questions through data. This is a rare opportunity to help build a data-driven culture from the ground up and impact the lives of millions by helping reinvent the healthcare system. We're building a system to support delivery of medical care in a modern and truly empathetic way.

On this team, you'll work closely with Engineering, Product, Operations, and Finance to analyze and mine data available internally to help drive the process. You'll be reporting to the VP of Engineering and will engage with all aspects of Nurx to discover insights on how to drive operational efficiency, help plan for staffing, and most importantly, increase our ability to better our patient's health.

What you'll do:
Deliver the insights necessary to help Nurx scale its Operations and Medical teams.
Build intuitive dashboards to empower other team members with actionable data.
Identify, track, and report regularly on key operational performance metrics.
Develop quantitative analysis, ad-hoc reports, and models to support key operations decisions, including staffing plans, process optimizations, and personnel performance management.
Take an active role in tracking and analytics across the company.
Flex into other areas of the organizations to help drive data driven decision making. Assist the Product, Finance, and Engineering teams derive key insights as needed.
Engage with stakeholders to understand business problems and translate their questions into insights and easily digestible summaries.
A bit about you:
Proven ability to write, optimize and execute complex SQL queries.
Minimum of 2 years of experience in data science, business intelligence / consulting / investment banking / healthcare / public health or related experience.
Bachelor's Degree in: Math, Finance, Economics, Statistics, Data Science, Physics or related field.
Analytical mindset with the ability to focus on a problem, ask insightful questions, and gain expertise quickly.
Experience with Python or other programmatic data analysis languages.
Experience working with ETLs or an understanding of data warehouse organization.
Familiarity with Splunk, Looker, or Mode.
Exposure to software version control systems/Git and GitHub.
Competent understanding of statistical principles (eg. statistical significance).
Ability to derive meaning from raw data in order to influence product decisions and direction.
About us:

At Nurx, we're creating a future where healthcare is easily accessible and affordable for everyone and building software that empowers people to be in control of decisions about their own health.

Our platform enables doctors to give patients personalized care at lower costs and prescriptions delivered straight to their door. We are committed to disrupting the healthcare system and increasing access to healthcare for millions across the country, starting with birth control and PrEP.

Benefits:
Talented and collaborative team who will both support and challenge you.
Market competitive salary and equity.
Medical, dental, commuter, wellness, and engineering technology benefits.
401(k) retirement plan.
Paid holiday, vacation, and sick leave.
Take what you need vacation (and we really mean it!).
This position is full-time and based in San Francisco, CA. Remote applicants will also be considered. Visa sponsorship is not available for this role.",3.5,"Nurx
3.5",Remote,51 to 200 Employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),-1,78,133,105.5,Nurx,Remote,4,1,0,0,0,0,0,0,0,0
Senior Research Statistician- Data Scientist,$78K-$133K (Glassdoor est.),"Acuity is seeking a Senior Research Statistician- Data Scientist to use statistical knowledge and research skills to solve business problems. The Research Statistician will develop, implement, and interpret statistical models with a strong emphasis on data mining and statistical/predictive modeling. Provides work direction.
ESSENTIAL FUNCTIONS:
Identifies and acquires additional data sources, both internal and external, that can be used to enhance analyses.
Lead the development of analytical models to drive superior business outcomes.
Develop in-depth understanding of drivers for optimization by utilizing statistics and data mining techniques.
Using latest PC tools, develop, enhance and monitor reports and models for other business areas.
Evaluate and use Data Mining Tools.
Support, train, encourage, consult other areas in the company and provide actionable information to management.
Continually monitor database information and future needs.
Explore and acquire data from outside sources.
Use database tools to support other departments
Regular and predictable attendance.
Perform other duties as assigned.
EDUCATION:
Masters/PhD in Statistics, Mathematics, Economics, Operations Research or Computer Science
EXPERIENCE:
5 years P&C insurance, modelling and project leader experience. Programming skills including SAS and R.
OTHER QUALIFICATIONS:
Strong interpersonal, quantitative, problem-solving, computer and conceptual skills.
Aptitude in predictive modeling, multivariate analysis, statistical modeling, data mining techniques and mathematical statistics.
Ability to apply strong programming and data management skills.
Knowledge of and experience with at least one major computer programming language or advanced syntax in a major statistical package.
This job is classified as exempt.",4.9,"Acuity Insurance
4.9","Sheboygan, WI",1001 to 5000 Employees,1925,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1,78,133,105.5,Acuity Insurance,WI,95,0,0,0,0,0,1,0,0,0
